epoch, 1
IH, 0.699583, HO, 0.808967
-1<=w<-0.8 : 5089, 498
-0.8<=w<-0.6 : , 32, 2416
-0.6<=w<-0.4 : , 0, 359
-0.4<=w<-0.2 : , 0, 2102
-0.2<=w<0 : , 0, 230
0<=w<-0.2 : , , 0, 59
0.2<=w<0.4 : , 0, 1766
0.4<=w<0.6 : , 1, 83
0.6<=w<0.8 : , 30, 1827
0.8<=w<=1 : , 2461, 490
epoch, 2
IH, 0.692181, HO, 0.817388
-1<=w<-0.8 : 5335, 367
-0.8<=w<-0.6 : , 39, 2450
-0.6<=w<-0.4 : , 0, 374
-0.4<=w<-0.2 : , 0, 2140
-0.2<=w<0 : , 0, 236
0<=w<-0.2 : , , 0, 62
0.2<=w<0.4 : , 0, 1807
0.4<=w<0.6 : , 1, 87
0.6<=w<0.8 : , 37, 1862
0.8<=w<=1 : , 2520, 324
epoch, 3
IH, 0.702292, HO, 0.797399
-1<=w<-0.8 : 5462, 332
-0.8<=w<-0.6 : , 40, 2446
-0.6<=w<-0.4 : , 0, 378
-0.4<=w<-0.2 : , 0, 2150
-0.2<=w<0 : , 0, 239
0<=w<-0.2 : , , 0, 66
0.2<=w<0.4 : , 0, 1815
0.4<=w<0.6 : , 1, 89
0.6<=w<0.8 : , 40, 1870
0.8<=w<=1 : , 2534, 250
epoch, 4
IH, 0.713796, HO, 0.827389
-1<=w<-0.8 : 5527, 325
-0.8<=w<-0.6 : , 41, 2450
-0.6<=w<-0.4 : , 0, 384
-0.4<=w<-0.2 : , 0, 2157
-0.2<=w<0 : , 0, 241
0<=w<-0.2 : , , 0, 65
0.2<=w<0.4 : , 0, 1815
0.4<=w<0.6 : , 3, 92
0.6<=w<0.8 : , 41, 1871
0.8<=w<=1 : , 2546, 233
epoch, 5
IH, 0.715706, HO, 0.831012
-1<=w<-0.8 : 5594, 320
-0.8<=w<-0.6 : , 46, 2442
-0.6<=w<-0.4 : , 0, 391
-0.4<=w<-0.2 : , 0, 2154
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 0, 66
0.2<=w<0.4 : , 0, 1816
0.4<=w<0.6 : , 3, 94
0.6<=w<0.8 : , 41, 1869
0.8<=w<=1 : , 2553, 222
epoch, 6
IH, 0.710439, HO, 0.834098
-1<=w<-0.8 : 5653, 315
-0.8<=w<-0.6 : , 48, 2434
-0.6<=w<-0.4 : , 0, 392
-0.4<=w<-0.2 : , 0, 2158
-0.2<=w<0 : , 0, 243
0<=w<-0.2 : , , 0, 66
0.2<=w<0.4 : , 0, 1818
0.4<=w<0.6 : , 3, 95
0.6<=w<0.8 : , 45, 1871
0.8<=w<=1 : , 2563, 207
epoch, 7
IH, 0.705263, HO, 0.8241
-1<=w<-0.8 : 5737, 306
-0.8<=w<-0.6 : , 47, 2423
-0.6<=w<-0.4 : , 0, 392
-0.4<=w<-0.2 : , 0, 2152
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 1, 66
0.2<=w<0.4 : , 0, 1821
0.4<=w<0.6 : , 3, 95
0.6<=w<0.8 : , 43, 1870
0.8<=w<=1 : , 2564, 197
epoch, 8
IH, 0.698785, HO, 0.803861
-1<=w<-0.8 : 5765, 306
-0.8<=w<-0.6 : , 49, 2424
-0.6<=w<-0.4 : , 0, 397
-0.4<=w<-0.2 : , 0, 2148
-0.2<=w<0 : , 0, 249
0<=w<-0.2 : , , 1, 66
0.2<=w<0.4 : , 0, 1820
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 45, 1871
0.8<=w<=1 : , 2563, 193
epoch, 9
IH, 0.690254, HO, 0.807562
-1<=w<-0.8 : 5815, 305
-0.8<=w<-0.6 : , 48, 2416
-0.6<=w<-0.4 : , 0, 395
-0.4<=w<-0.2 : , 0, 2147
-0.2<=w<0 : , 0, 249
0<=w<-0.2 : , , 0, 66
0.2<=w<0.4 : , 1, 1820
0.4<=w<0.6 : , 2, 96
0.6<=w<0.8 : , 45, 1872
0.8<=w<=1 : , 2561, 192
epoch, 10
IH, 0.681058, HO, 0.796548
-1<=w<-0.8 : 5885, 295
-0.8<=w<-0.6 : , 48, 2411
-0.6<=w<-0.4 : , 0, 401
-0.4<=w<-0.2 : , 0, 2147
-0.2<=w<0 : , 0, 251
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 0, 1820
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 44, 1870
0.8<=w<=1 : , 2565, 186
epoch, 11
IH, 0.694417, HO, 0.828848
-1<=w<-0.8 : 5922, 297
-0.8<=w<-0.6 : , 51, 2409
-0.6<=w<-0.4 : , 0, 400
-0.4<=w<-0.2 : , 0, 2143
-0.2<=w<0 : , 0, 250
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 0, 1818
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 45, 1867
0.8<=w<=1 : , 2568, 177
epoch, 12
IH, 0.697342, HO, 0.815941
-1<=w<-0.8 : 5966, 312
-0.8<=w<-0.6 : , 50, 2394
-0.6<=w<-0.4 : , 0, 401
-0.4<=w<-0.2 : , 0, 2138
-0.2<=w<0 : , 0, 251
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 0, 1816
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 44, 1868
0.8<=w<=1 : , 2568, 171
epoch, 13
IH, 0.7, HO, 0.814262
-1<=w<-0.8 : 6020, 319
-0.8<=w<-0.6 : , 51, 2384
-0.6<=w<-0.4 : , 0, 400
-0.4<=w<-0.2 : , 0, 2135
-0.2<=w<0 : , 0, 248
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 0, 1815
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 43, 1866
0.8<=w<=1 : , 2571, 166
epoch, 14
IH, 0.692853, HO, 0.81032
-1<=w<-0.8 : 6050, 321
-0.8<=w<-0.6 : , 50, 2379
-0.6<=w<-0.4 : , 0, 401
-0.4<=w<-0.2 : , 0, 2133
-0.2<=w<0 : , 0, 248
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 0, 1813
0.4<=w<0.6 : , 3, 97
0.6<=w<0.8 : , 43, 1861
0.8<=w<=1 : , 2574, 161
epoch, 15
IH, 0.696449, HO, 0.8476
-1<=w<-0.8 : 6078, 342
-0.8<=w<-0.6 : , 50, 2369
-0.6<=w<-0.4 : , 0, 403
-0.4<=w<-0.2 : , 0, 2132
-0.2<=w<0 : , 0, 246
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 0, 1809
0.4<=w<0.6 : , 3, 97
0.6<=w<0.8 : , 42, 1857
0.8<=w<=1 : , 2580, 155
epoch, 16
IH, 0.702766, HO, 0.828735
-1<=w<-0.8 : 6133, 319
-0.8<=w<-0.6 : , 52, 2363
-0.6<=w<-0.4 : , 0, 404
-0.4<=w<-0.2 : , 0, 2131
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 2, 1804
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1854
0.8<=w<=1 : , 2581, 155
epoch, 17
IH, 0.714373, HO, 0.833838
-1<=w<-0.8 : 6168, 320
-0.8<=w<-0.6 : , 52, 2359
-0.6<=w<-0.4 : , 0, 405
-0.4<=w<-0.2 : , 0, 2128
-0.2<=w<0 : , 0, 245
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 0, 1800
0.4<=w<0.6 : , 3, 96
0.6<=w<0.8 : , 42, 1854
0.8<=w<=1 : , 2579, 155
epoch, 18
