epoch, 1
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999788, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 4637
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25238
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 83
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 11042
epoch, 2
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998838, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 4888
count [L.N(Gp)+L.N(Gn) = 5] : , 1
count [L.N(Gp)+L.N(Gn) = 3] : , 26998
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 63
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 9050
epoch, 3
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.99898, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 5484
count [L.N(Gp)+L.N(Gn) = 5] : , 1
count [L.N(Gp)+L.N(Gn) = 3] : , 27262
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 49
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 8204
epoch, 4
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998147, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 6034
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 27097
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 41
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7828
epoch, 5
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.997203, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 6514
count [L.N(Gp)+L.N(Gn) = 5] : , 2
count [L.N(Gp)+L.N(Gn) = 3] : , 26921
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 41
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7522
epoch, 6
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.997069, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 6816
count [L.N(Gp)+L.N(Gn) = 5] : , 3
count [L.N(Gp)+L.N(Gn) = 3] : , 26844
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 36
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7301
epoch, 7
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.997831, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 7109
count [L.N(Gp)+L.N(Gn) = 5] : , 2
count [L.N(Gp)+L.N(Gn) = 3] : , 26711
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 30
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7148
epoch, 8
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998652, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 7530
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 26424
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 28
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7018
epoch, 9
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999536, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 7751
count [L.N(Gp)+L.N(Gn) = 5] : , 1
count [L.N(Gp)+L.N(Gn) = 3] : , 26357
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 29
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6862
epoch, 10
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998571, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 7937
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 26298
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 13
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6752
epoch, 11
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998543, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 8116
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 26194
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 6
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6684
epoch, 12
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998505, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 8361
count [L.N(Gp)+L.N(Gn) = 5] : , 1
count [L.N(Gp)+L.N(Gn) = 3] : , 26022
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 19
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6597
epoch, 13
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.99846, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 8465
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25994
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 32
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6509
epoch, 14
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998442, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 8582
count [L.N(Gp)+L.N(Gn) = 5] : , 1
count [L.N(Gp)+L.N(Gn) = 3] : , 25955
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 23
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6439
epoch, 15
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998941, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 8754
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25867
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 17
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6362
epoch, 16
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 8794
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25896
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6310
epoch, 17
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 8895
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25820
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 8
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6277
epoch, 18
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999443, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9015
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25760
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 6
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6219
epoch, 19
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999431, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9042
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25778
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 5
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6175
epoch, 20
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998849, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9017
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25847
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 10
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6126
epoch, 21
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998828, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9192
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25727
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 5
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6076
epoch, 22
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9277
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25683
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 21
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6019
epoch, 23
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998805, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9177
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25814
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 19
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5990
epoch, 24
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998774, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9318
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25771
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 6
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5905
epoch, 25
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998756, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9409
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25723
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 6
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5862
epoch, 26
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9408
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25750
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 7
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5835
epoch, 27
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998732, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9584
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25606
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5810
epoch, 28
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999356, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9674
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25572
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 10
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5744
epoch, 29
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9717
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25572
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 14
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5697
epoch, 30
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9820
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25489
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 5
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5686
epoch, 31
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9929
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25434
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5637
epoch, 32
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9680
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25693
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 21
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5606
epoch, 33
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.99865, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 9821
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25555
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 7
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5617
epoch, 34
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10010
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25392
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5598
epoch, 35
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999307, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10057
count [L.N(Gp)+L.N(Gn) = 5] : , 0
