epoch, 1
-1<=w<-0.8 : 139586, 0
-0.8<=w<-0.6 : , 179482, 0
-0.6<=w<-0.4 : , 182615, 0
-0.4<=w<-0.2 : , 229833, 0
-0.2<=w<0 : , 267595, 0
0<=w<-0.2 : , 221432, 0
0.2<=w<0.4 : , 231016, 0
0.4<=w<0.6 : , 210596, 0
0.6<=w<0.8 : , 164021, 0
0.8<=w<=1 : , 72558, 0
epoch, 2
-1<=w<-0.8 : 51720, 0
-0.8<=w<-0.6 : , 89679, 0
-0.6<=w<-0.4 : , 153591, 0
-0.4<=w<-0.2 : , 254154, 0
-0.2<=w<0 : , 302022, 0
0<=w<-0.2 : , 256845, 0
0.2<=w<0.4 : , 250879, 0
0.4<=w<0.6 : , 171295, 0
0.6<=w<0.8 : , 80053, 0
0.8<=w<=1 : , 28340, 0
epoch, 3
-1<=w<-0.8 : 29006, 0
-0.8<=w<-0.6 : , 52432, 0
-0.6<=w<-0.4 : , 108715, 0
-0.4<=w<-0.2 : , 226256, 0
-0.2<=w<0 : , 314203, 0
0<=w<-0.2 : , 308954, 0
0.2<=w<0.4 : , 219186, 0
0.4<=w<0.6 : , 100033, 0
0.6<=w<0.8 : , 37185, 0
0.8<=w<=1 : , 18275, 0
epoch, 4
-1<=w<-0.8 : 20205, 0
-0.8<=w<-0.6 : , 34414, 0
-0.6<=w<-0.4 : , 65040, 0
-0.4<=w<-0.2 : , 189814, 0
-0.2<=w<0 : , 296388, 0
0<=w<-0.2 : , 318226, 0
0.2<=w<0.4 : , 167317, 0
0.4<=w<0.6 : , 62815, 0
0.6<=w<0.8 : , 24126, 0
0.8<=w<=1 : , 14370, 0
epoch, 5
-1<=w<-0.8 : 16415, 0
-0.8<=w<-0.6 : , 26930, 0
-0.6<=w<-0.4 : , 56498, 0
-0.4<=w<-0.2 : , 172095, 0
-0.2<=w<0 : , 296379, 0
0<=w<-0.2 : , 326963, 0
0.2<=w<0.4 : , 147999, 0
0.4<=w<0.6 : , 45207, 0
0.6<=w<0.8 : , 20013, 0
0.8<=w<=1 : , 12742, 0
epoch, 6
-1<=w<-0.8 : 13637, 0
-0.8<=w<-0.6 : , 23270, 0
-0.6<=w<-0.4 : , 46459, 0
-0.4<=w<-0.2 : , 157262, 0
-0.2<=w<0 : , 289962, 0
0<=w<-0.2 : , 328910, 0
0.2<=w<0.4 : , 131843, 0
0.4<=w<0.6 : , 33116, 0
0.6<=w<0.8 : , 17444, 0
0.8<=w<=1 : , 11442, 0
epoch, 7
-1<=w<-0.8 : 12723, 0
-0.8<=w<-0.6 : , 20043, 0
-0.6<=w<-0.4 : , 39389, 0
-0.4<=w<-0.2 : , 143431, 0
-0.2<=w<0 : , 278012, 0
0<=w<-0.2 : , 310485, 0
0.2<=w<0.4 : , 124859, 0
0.4<=w<0.6 : , 29745, 0
0.6<=w<0.8 : , 12619, 0
0.8<=w<=1 : , 10621, 0
epoch, 8
