epoch, 1
IH, 0.901518, HO, 0.949826
-1<=w<-0.8 : 6345, 1544
-0.8<=w<-0.6 : 11, 3254
-0.6<=w<-0.4 : 6, 145
-0.4<=w<-0.2 : 15, 3198
-0.2<=w<0 : 10, 1779
0<=w<-0.2 : 26, 3548
0.2<=w<0.4 : 7, 2663
0.4<=w<0.6 : 9, 11
0.6<=w<0.8 : 20, 2713
0.8<=w<=1 : 4599, 1376
epoch, 2
IH, 0.77602, HO, 0.732695
-1<=w<-0.8 : 7601, 1419
-0.8<=w<-0.6 : 157, 3914
-0.6<=w<-0.4 : 18, 260
-0.4<=w<-0.2 : 28, 3741
-0.2<=w<0 : 71, 2321
0<=w<-0.2 : 128, 3867
0.2<=w<0.4 : 32, 3079
0.4<=w<0.6 : 11, 60
0.6<=w<0.8 : 195, 3111
0.8<=w<=1 : 5199, 1324
epoch, 3
IH, 0.687923, HO, 0.634121
-1<=w<-0.8 : 7656, 1377
-0.8<=w<-0.6 : 408, 4035
-0.6<=w<-0.4 : 32, 304
-0.4<=w<-0.2 : 41, 3845
-0.2<=w<0 : 124, 2464
0<=w<-0.2 : 97, 3900
0.2<=w<0.4 : 41, 3170
0.4<=w<0.6 : 29, 68
0.6<=w<0.8 : 424, 3202
0.8<=w<=1 : 5143, 1247
epoch, 4
IH, 0.619764, HO, 0.568569
-1<=w<-0.8 : 7620, 1282
-0.8<=w<-0.6 : 626, 4100
-0.6<=w<-0.4 : 109, 335
-0.4<=w<-0.2 : 66, 3908
-0.2<=w<0 : 116, 2548
0<=w<-0.2 : 131, 3931
0.2<=w<0.4 : 35, 3222
0.4<=w<0.6 : 98, 73
0.6<=w<0.8 : 525, 3275
0.8<=w<=1 : 5074, 1229
epoch, 5
IH, 0.519798, HO, 0.466592
-1<=w<-0.8 : 7588, 1191
-0.8<=w<-0.6 : 903, 4243
-0.6<=w<-0.4 : 236, 381
-0.4<=w<-0.2 : 81, 4019
-0.2<=w<0 : 157, 2696
0<=w<-0.2 : 111, 3969
0.2<=w<0.4 : 68, 3325
0.4<=w<0.6 : 231, 92
0.6<=w<0.8 : 640, 3367
0.8<=w<=1 : 4992, 1158
epoch, 6
IH, 0.38414, HO, 0.343231
-1<=w<-0.8 : 7266, 1147
-0.8<=w<-0.6 : 1302, 4313
-0.6<=w<-0.4 : 416, 384
-0.4<=w<-0.2 : 180, 4083
-0.2<=w<0 : 255, 2798
0<=w<-0.2 : 190, 3975
0.2<=w<0.4 : 197, 3388
0.4<=w<0.6 : 351, 109
0.6<=w<0.8 : 761, 3434
0.8<=w<=1 : 4825, 1095
epoch, 7
IH, 0.301956, HO, 0.277756
-1<=w<-0.8 : 6970, 1071
-0.8<=w<-0.6 : 1497, 4317
-0.6<=w<-0.4 : 590, 394
-0.4<=w<-0.2 : 359, 4116
-0.2<=w<0 : 373, 2839
0<=w<-0.2 : 298, 3997
0.2<=w<0.4 : 374, 3414
0.4<=w<0.6 : 437, 118
0.6<=w<0.8 : 823, 3465
0.8<=w<=1 : 4623, 1066
epoch, 8
IH, 0.24522, HO, 0.224721
-1<=w<-0.8 : 6722, 998
-0.8<=w<-0.6 : 1705, 4315
-0.6<=w<-0.4 : 726, 412
-0.4<=w<-0.2 : 586, 4149
-0.2<=w<0 : 525, 2888
0<=w<-0.2 : 465, 3985
0.2<=w<0.4 : 541, 3444
0.4<=w<0.6 : 527, 122
0.6<=w<0.8 : 867, 3480
0.8<=w<=1 : 4480, 995
epoch, 9
IH, 0.178742, HO, 0.164653
-1<=w<-0.8 : 6309, 862
-0.8<=w<-0.6 : 1882, 4279
-0.6<=w<-0.4 : 986, 417
-0.4<=w<-0.2 : 948, 4099
-0.2<=w<0 : 1186, 2909
0<=w<-0.2 : 1208, 3918
0.2<=w<0.4 : 766, 3417
0.4<=w<0.6 : 631, 129
0.6<=w<0.8 : 921, 3399
0.8<=w<=1 : 4283, 887
epoch, 10
IH, 0.144209, HO, 0.136829
-1<=w<-0.8 : 5987, 801
-0.8<=w<-0.6 : 1997, 4181
-0.6<=w<-0.4 : 1132, 418
-0.4<=w<-0.2 : 1255, 4045
-0.2<=w<0 : 1840, 2875
0<=w<-0.2 : 1934, 3859
0.2<=w<0.4 : 939, 3371
0.4<=w<0.6 : 692, 135
0.6<=w<0.8 : 960, 3342
0.8<=w<=1 : 4079, 828
epoch, 11
IH, 0.122764, HO, 0.11772
-1<=w<-0.8 : 5715, 770
-0.8<=w<-0.6 : 2061, 4073
-0.6<=w<-0.4 : 1235, 422
-0.4<=w<-0.2 : 1484, 3970
-0.2<=w<0 : 2478, 2856
0<=w<-0.2 : 2680, 3782
0.2<=w<0.4 : 1030, 3336
0.4<=w<0.6 : 734, 136
0.6<=w<0.8 : 987, 3274
0.8<=w<=1 : 3898, 785
epoch, 12
IH, 0.106603, HO, 0.105283
-1<=w<-0.8 : 5547, 727
-0.8<=w<-0.6 : 2031, 4016
-0.6<=w<-0.4 : 1357, 427
-0.4<=w<-0.2 : 1655, 3903
-0.2<=w<0 : 3075, 2835
0<=w<-0.2 : 3246, 3724
0.2<=w<0.4 : 1109, 3297
0.4<=w<0.6 : 755, 137
0.6<=w<0.8 : 989, 3217
0.8<=w<=1 : 3796, 761
epoch, 13
IH, 0.0960155, HO, 0.0980584
-1<=w<-0.8 : 5372, 705
-0.8<=w<-0.6 : 2069, 3929
-0.6<=w<-0.4 : 1447, 423
-0.4<=w<-0.2 : 1759, 3854
-0.2<=w<0 : 3625, 2793
0<=w<-0.2 : 3784, 3656
0.2<=w<0.4 : 1176, 3242
0.4<=w<0.6 : 775, 137
0.6<=w<0.8 : 995, 3159
0.8<=w<=1 : 3709, 737
epoch, 14
IH, 0.0872395, HO, 0.0912975
-1<=w<-0.8 : 5188, 692
-0.8<=w<-0.6 : 2078, 3867
-0.6<=w<-0.4 : 1556, 417
-0.4<=w<-0.2 : 1979, 3808
-0.2<=w<0 : 4030, 2766
0<=w<-0.2 : 4223, 3602
0.2<=w<0.4 : 1236, 3199
0.4<=w<0.6 : 791, 136
0.6<=w<0.8 : 996, 3100
0.8<=w<=1 : 3628, 722
epoch, 15
IH, 0.0795473, HO, 0.0853782
-1<=w<-0.8 : 5093, 660
-0.8<=w<-0.6 : 2068, 3787
-0.6<=w<-0.4 : 1636, 413
-0.4<=w<-0.2 : 2075, 3747
-0.2<=w<0 : 4620, 2719
0<=w<-0.2 : 4791, 3525
0.2<=w<0.4 : 1266, 3138
0.4<=w<0.6 : 822, 132
0.6<=w<0.8 : 1002, 3025
0.8<=w<=1 : 3530, 703
epoch, 1
IH, 0.994184, HO, 1
-1<=w<-0.8 : 1207, 4245
-0.8<=w<-0.6 : 0, 4549
-0.6<=w<-0.4 : 0, 525
-0.4<=w<-0.2 : 0, 4805
-0.2<=w<0 : 0, 1221
0<=w<-0.2 : 0, 6218
0.2<=w<0.4 : 0, 4701
0.4<=w<0.6 : 0, 410
0.6<=w<0.8 : 0, 4450
0.8<=w<=1 : 810, 4293
epoch, 2
IH, 0.988466, HO, 0.99991
-1<=w<-0.8 : 1514, 4751
-0.8<=w<-0.6 : 0, 5170
-0.6<=w<-0.4 : 0, 888
-0.4<=w<-0.2 : 0, 5711
-0.2<=w<0 : 0, 1720
0<=w<-0.2 : 0, 6543
0.2<=w<0.4 : 0, 5547
0.4<=w<0.6 : 0, 859
0.6<=w<0.8 : 0, 5003
0.8<=w<=1 : 868, 4803
epoch, 3
IH, 0.97616, HO, 0.999266
-1<=w<-0.8 : 1373, 5459
-0.8<=w<-0.6 : 0, 5768
-0.6<=w<-0.4 : 0, 1235
-0.4<=w<-0.2 : 0, 6496
-0.2<=w<0 : 0, 2375
0<=w<-0.2 : 0, 6636
0.2<=w<0.4 : 0, 6095
0.4<=w<0.6 : 0, 1145
0.6<=w<0.8 : 0, 5331
0.8<=w<=1 : 869, 5135
epoch, 4
IH, 0.963994, HO, 0.999053
-1<=w<-0.8 : 1202, 6103
-0.8<=w<-0.6 : 0, 6435
-0.6<=w<-0.4 : 0, 2220
-0.4<=w<-0.2 : 0, 7729
-0.2<=w<0 : 0, 3492
0<=w<-0.2 : 0, 6826
0.2<=w<0.4 : 0, 7153
0.4<=w<0.6 : 0, 2078
0.6<=w<0.8 : 0, 5857
0.8<=w<=1 : 770, 5665
epoch, 5
IH, 0.94897, HO, 0.998657
