param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 1, 71.48, 71.48, 0, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 2, 84.5, 77.99, 6.51, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 3, 87.09, 81.0233, 6.83049, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 4, 88.82, 82.9725, 6.81098, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 5, 87.67, 83.912, 6.37512, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 6, 88.09, 84.6083, 6.02436, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 7, 88.67, 85.1886, 5.75572, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 8, 89.49, 85.7262, 5.56875, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 9, 89.16, 86.1078, 5.36002, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 10, 89.33, 86.43, 5.17603, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
