param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 1, 53.1, 53.1, 0, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 2, 60.27, 56.685, 3.585, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 3, 65.53, 59.6333, 5.09446, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 4, 88.58, 66.87, 13.2881, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 5, 88.77, 71.25, 14.7647, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 6, 89.7, 74.325, 15.1308, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 7, 89.87, 76.5457, 15.0275, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 8, 91.11, 78.3662, 14.8593, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 9, 90.57, 79.7222, 14.5249, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 10, 91.35, 80.885, 14.2142, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 11, 91.13, 81.8164, 13.8691, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 12, 91.75, 82.6442, 13.5595, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 13, 91.29, 83.3092, 13.2297, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 14, 92.17, 83.9421, 12.9511, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 15, 91.72, 84.4607, 12.6615, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 16, 91.98, 84.9306, 12.3938, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
