actover, 60, weightover, 9889, ratio, 164.817, actunder, 16, weightoverifunder, 2890, ratio, 180.625
actover, 21, weightover, 3401, ratio, 161.952, actunder, 18, weightoverifunder, 2543, ratio, 141.278
actover, 77, weightover, 11047, ratio, 143.468, actunder, 5, weightoverifunder, 409, ratio, 81.8
actover, 77, weightover, 10284, ratio, 133.558, actunder, 3, weightoverifunder, 158, ratio, 52.6667
actover, 49, weightover, 5996, ratio, 122.367, actunder, 8, weightoverifunder, 792, ratio, 99
actover, 73, weightover, 8643, ratio, 118.397, actunder, 13, weightoverifunder, 956, ratio, 73.5385
actover, 81, weightover, 9563, ratio, 118.062, actunder, 7, weightoverifunder, 479, ratio, 68.4286
actover, 53, weightover, 5971, ratio, 112.66, actunder, 9, weightoverifunder, 883, ratio, 98.1111
actover, 87, weightover, 9532, ratio, 109.563, actunder, 7, weightoverifunder, 364, ratio, 52
actover, 70, weightover, 7657, ratio, 109.386, actunder, 6, weightoverifunder, 381, ratio, 63.5
actover, 81, weightover, 8559, ratio, 105.667, actunder, 5, weightoverifunder, 189, ratio, 37.8
actover, 94, weightover, 9476, ratio, 100.809, actunder, 0, weightoverifunder, 0, ratio, -nan
actover, 50, weightover, 5492, ratio, 109.84, actunder, 8, weightoverifunder, 730, ratio, 91.25
actover, 53, weightover, 6061, ratio, 114.358, actunder, 7, weightoverifunder, 284, ratio, 40.5714
actover, 92, weightover, 8929, ratio, 97.0543, actunder, 3, weightoverifunder, 143, ratio, 47.6667
actover, 70, weightover, 7558, ratio, 107.971, actunder, 3, weightoverifunder, 173, ratio, 57.6667
actover, 88, weightover, 8579, ratio, 97.4886, actunder, 1, weightoverifunder, 37, ratio, 37
actover, 78, weightover, 7589, ratio, 97.2949, actunder, 1, weightoverifunder, 140, ratio, 140
actover, 71, weightover, 6742, ratio, 94.9577, actunder, 6, weightoverifunder, 304, ratio, 50.6667
actover, 64, weightover, 6518, ratio, 101.844, actunder, 8, weightoverifunder, 376, ratio, 47
