epoch, 1
-1<=w<-0.8 : 56402, 84446
-0.8<=w<-0.6 : , 77154, 104328
-0.6<=w<-0.4 : , 82111, 101244
-0.4<=w<-0.2 : , 122110, 142780
-0.2<=w<0 : , 157847, 187909
0<=w<-0.2 : , 126869, 141246
0.2<=w<0.4 : , 110592, 125095
0.4<=w<0.6 : , 104832, 101244
0.6<=w<0.8 : , 78127, 89099
0.8<=w<=1 : , 36199, 38813
epoch, 2
-1<=w<-0.8 : 20286, 31921
-0.8<=w<-0.6 : , 42014, 54440
-0.6<=w<-0.4 : , 67207, 79031
-0.4<=w<-0.2 : , 122502, 136788
-0.2<=w<0 : , 146114, 158992
0<=w<-0.2 : , 125248, 131158
0.2<=w<0.4 : , 115297, 119976
0.4<=w<0.6 : , 79505, 79031
0.6<=w<0.8 : , 41064, 40676
0.8<=w<=1 : , 20954, 17012
epoch, 3
-1<=w<-0.8 : 13022, 23557
-0.8<=w<-0.6 : , 29822, 41770
-0.6<=w<-0.4 : , 59830, 71641
-0.4<=w<-0.2 : , 137486, 154792
-0.2<=w<0 : , 177734, 189953
0<=w<-0.2 : , 170556, 172331
0.2<=w<0.4 : , 132489, 131127
0.4<=w<0.6 : , 64438, 71641
0.6<=w<0.8 : , 27460, 25672
0.8<=w<=1 : , 17808, 12056
epoch, 4
-1<=w<-0.8 : 8379, 16669
-0.8<=w<-0.6 : , 19568, 27678
-0.6<=w<-0.4 : , 41148, 49508
-0.4<=w<-0.2 : , 120438, 135513
-0.2<=w<0 : , 180433, 189222
0<=w<-0.2 : , 195304, 191766
0.2<=w<0.4 : , 115666, 108469
0.4<=w<0.6 : , 39818, 49508
0.6<=w<0.8 : , 17041, 15315
0.8<=w<=1 : , 15911, 9243
epoch, 5
-1<=w<-0.8 : 7314, 14197
-0.8<=w<-0.6 : , 14225, 19811
-0.6<=w<-0.4 : , 34880, 42857
-0.4<=w<-0.2 : , 103396, 117208
-0.2<=w<0 : , 181360, 191548
0<=w<-0.2 : , 203181, 197294
0.2<=w<0.4 : , 101595, 91847
0.4<=w<0.6 : , 31096, 42857
0.6<=w<0.8 : , 12385, 10817
0.8<=w<=1 : , 14239, 7491
epoch, 6
-1<=w<-0.8 : 6128, 12625
-0.8<=w<-0.6 : , 11718, 17095
-0.6<=w<-0.4 : , 28230, 36525
-0.4<=w<-0.2 : , 101377, 117020
-0.2<=w<0 : , 171448, 182064
0<=w<-0.2 : , 206059, 199575
0.2<=w<0.4 : , 89742, 81544
0.4<=w<0.6 : , 21526, 36525
0.6<=w<0.8 : , 12269, 10086
0.8<=w<=1 : , 13294, 6650
epoch, 7
-1<=w<-0.8 : 5564, 11563
-0.8<=w<-0.6 : , 10429, 15342
-0.6<=w<-0.4 : , 23259, 29562
-0.4<=w<-0.2 : , 90457, 104279
-0.2<=w<0 : , 170401, 179270
0<=w<-0.2 : , 208057, 198556
0.2<=w<0.4 : , 83843, 73440
0.4<=w<0.6 : , 19887, 29562
0.6<=w<0.8 : , 8633, 6905
0.8<=w<=1 : , 12804, 6272
epoch, 8
-1<=w<-0.8 : 5296, 10898
-0.8<=w<-0.6 : , 9289, 14009
-0.6<=w<-0.4 : , 23104, 29103
-0.4<=w<-0.2 : , 83277, 97041
-0.2<=w<0 : , 183137, 194308
0<=w<-0.2 : , 203318, 194774
0.2<=w<0.4 : , 78434, 67913
0.4<=w<0.6 : , 15880, 29103
0.6<=w<0.8 : , 8469, 6343
0.8<=w<=1 : , 12770, 6244
epoch, 9
-1<=w<-0.8 : 4803, 9921
-0.8<=w<-0.6 : , 8956, 12945
-0.6<=w<-0.4 : , 18799, 24085
-0.4<=w<-0.2 : , 80225, 92374
-0.2<=w<0 : , 174801, 184031
0<=w<-0.2 : , 193837, 183253
0.2<=w<0.4 : , 77036, 65514
0.4<=w<0.6 : , 16920, 24085
0.6<=w<0.8 : , 6331, 4855
0.8<=w<=1 : , 12957, 5989
epoch, 10
-1<=w<-0.8 : 4628, 10492
-0.8<=w<-0.6 : , 8349, 12879
-0.6<=w<-0.4 : , 17792, 23717
-0.4<=w<-0.2 : , 75561, 88643
-0.2<=w<0 : , 177290, 188239
0<=w<-0.2 : , 196276, 187222
0.2<=w<0.4 : , 72264, 62948
0.4<=w<0.6 : , 13724, 23717
0.6<=w<0.8 : , 7670, 5889
0.8<=w<=1 : , 11259, 5205
epoch, 11
-1<=w<-0.8 : 4240, 9564
-0.8<=w<-0.6 : , 7980, 12379
-0.6<=w<-0.4 : , 16154, 21700
-0.4<=w<-0.2 : , 75611, 89154
-0.2<=w<0 : , 165378, 176382
0<=w<-0.2 : , 199797, 190499
0.2<=w<0.4 : , 67786, 58262
0.4<=w<0.6 : , 14748, 21700
0.6<=w<0.8 : , 5016, 4078
0.8<=w<=1 : , 11936, 5352
epoch, 12
-1<=w<-0.8 : 4827, 10611
-0.8<=w<-0.6 : , 8110, 12388
-0.6<=w<-0.4 : , 17313, 22785
-0.4<=w<-0.2 : , 80566, 95403
-0.2<=w<0 : , 175991, 186848
0<=w<-0.2 : , 211389, 200111
0.2<=w<0.4 : , 68043, 58079
0.4<=w<0.6 : , 15211, 22785
0.6<=w<0.8 : , 5930, 4653
0.8<=w<=1 : , 12017, 5378
epoch, 13
-1<=w<-0.8 : 4267, 9389
-0.8<=w<-0.6 : , 7274, 11144
-0.6<=w<-0.4 : , 16126, 21467
-0.4<=w<-0.2 : , 72600, 86512
-0.2<=w<0 : , 172722, 183811
0<=w<-0.2 : , 198925, 187574
0.2<=w<0.4 : , 64623, 54681
0.4<=w<0.6 : , 14546, 21467
0.6<=w<0.8 : , 4389, 3311
0.8<=w<=1 : , 11578, 5181
epoch, 14
-1<=w<-0.8 : 4301, 9741
-0.8<=w<-0.6 : , 7252, 11184
-0.6<=w<-0.4 : , 15993, 21431
-0.4<=w<-0.2 : , 68035, 81626
-0.2<=w<0 : , 177557, 190524
0<=w<-0.2 : , 198367, 187436
0.2<=w<0.4 : , 69506, 58522
0.4<=w<0.6 : , 10807, 21431
0.6<=w<0.8 : , 7609, 5413
0.8<=w<=1 : , 10733, 4597
epoch, 15
-1<=w<-0.8 : 4066, 9661
-0.8<=w<-0.6 : , 6725, 10600
-0.6<=w<-0.4 : , 19466, 25860
-0.4<=w<-0.2 : , 68894, 82831
-0.2<=w<0 : , 175869, 187073
0<=w<-0.2 : , 203695, 192673
0.2<=w<0.4 : , 62908, 53921
0.4<=w<0.6 : , 10897, 25860
0.6<=w<0.8 : , 5804, 4278
0.8<=w<=1 : , 11710, 5099
epoch, 16
-1<=w<-0.8 : 3965, 9022
-0.8<=w<-0.6 : , 6801, 10700
-0.6<=w<-0.4 : , 14273, 19025
-0.4<=w<-0.2 : , 70927, 85050
-0.2<=w<0 : , 163551, 174713
0<=w<-0.2 : , 194387, 183205
0.2<=w<0.4 : , 63298, 52958
0.4<=w<0.6 : , 10493, 19025
0.6<=w<0.8 : , 4528, 3401
0.8<=w<=1 : , 11588, 4922
epoch, 17
-1<=w<-0.8 : 4168, 9644
-0.8<=w<-0.6 : , 6277, 9965
-0.6<=w<-0.4 : , 14071, 19212
-0.4<=w<-0.2 : , 71900, 85279
-0.2<=w<0 : , 163863, 173499
0<=w<-0.2 : , 197406, 186234
0.2<=w<0.4 : , 61586, 51523
0.4<=w<0.6 : , 11223, 19212
0.6<=w<0.8 : , 4888, 3495
0.8<=w<=1 : , 10214, 4221
epoch, 18
-1<=w<-0.8 : 4287, 9467
-0.8<=w<-0.6 : , 6222, 9215
-0.6<=w<-0.4 : , 14236, 18805
-0.4<=w<-0.2 : , 65345, 77619
-0.2<=w<0 : , 162330, 172500
0<=w<-0.2 : , 194660, 182114
0.2<=w<0.4 : , 62741, 51888
0.4<=w<0.6 : , 10609, 18805
0.6<=w<0.8 : , 4316, 2933
0.8<=w<=1 : , 10601, 4317
epoch, 19
-1<=w<-0.8 : 4179, 9371
-0.8<=w<-0.6 : , 5967, 8946
-0.6<=w<-0.4 : , 13640, 18269
-0.4<=w<-0.2 : , 63891, 75807
-0.2<=w<0 : , 161091, 171264
0<=w<-0.2 : , 192776, 182279
0.2<=w<0.4 : , 59270, 49419
0.4<=w<0.6 : , 8751, 18269
0.6<=w<0.8 : , 6442, 4381
0.8<=w<=1 : , 10225, 4265
epoch, 20
-1<=w<-0.8 : 3924, 8593
-0.8<=w<-0.6 : , 6070, 9637
-0.6<=w<-0.4 : , 15047, 19647
-0.4<=w<-0.2 : , 64793, 76843
-0.2<=w<0 : , 155636, 165784
0<=w<-0.2 : , 192144, 180981
0.2<=w<0.4 : , 58333, 48434
0.4<=w<0.6 : , 10214, 19647
0.6<=w<0.8 : , 3601, 2572
0.8<=w<=1 : , 11398, 5022
epoch, 21
-1<=w<-0.8 : 3924, 8955
-0.8<=w<-0.6 : , 6513, 10084
-0.6<=w<-0.4 : , 15112, 20261
-0.4<=w<-0.2 : , 61389, 73954
-0.2<=w<0 : , 160027, 171701
0<=w<-0.2 : , 200090, 189004
0.2<=w<0.4 : , 58968, 49254
0.4<=w<0.6 : , 10422, 20261
0.6<=w<0.8 : , 3494, 2489
0.8<=w<=1 : , 10895, 4606
epoch, 22
-1<=w<-0.8 : 3797, 8568
-0.8<=w<-0.6 : , 6111, 9480
-0.6<=w<-0.4 : , 13353, 17972
-0.4<=w<-0.2 : , 61350, 73516
-0.2<=w<0 : , 164793, 176912
0<=w<-0.2 : , 189924, 177440
0.2<=w<0.4 : , 61269, 50296
0.4<=w<0.6 : , 9823, 17972
0.6<=w<0.8 : , 3730, 2621
0.8<=w<=1 : , 11057, 4899
epoch, 23
-1<=w<-0.8 : 3459, 8087
-0.8<=w<-0.6 : , 6286, 9925
-0.6<=w<-0.4 : , 15778, 20721
-0.4<=w<-0.2 : , 55449, 67137
-0.2<=w<0 : , 159495, 169732
0<=w<-0.2 : , 191812, 180790
0.2<=w<0.4 : , 57559, 47931
0.4<=w<0.6 : , 10666, 20721
0.6<=w<0.8 : , 3133, 2340
0.8<=w<=1 : , 10656, 4508
epoch, 24
-1<=w<-0.8 : 3619, 8560
-0.8<=w<-0.6 : , 6218, 9460
-0.6<=w<-0.4 : , 12109, 16428
-0.4<=w<-0.2 : , 63325, 76913
-0.2<=w<0 : , 149663, 160159
0<=w<-0.2 : , 191219, 179657
0.2<=w<0.4 : , 58050, 48027
0.4<=w<0.6 : , 7871, 16428
0.6<=w<0.8 : , 4292, 3001
0.8<=w<=1 : , 10055, 4212
epoch, 25
-1<=w<-0.8 : 3912, 8885
-0.8<=w<-0.6 : , 6121, 9677
-0.6<=w<-0.4 : , 15477, 20796
-0.4<=w<-0.2 : , 64349, 77325
-0.2<=w<0 : , 157392, 167135
0<=w<-0.2 : , 201728, 190439
0.2<=w<0.4 : , 56188, 46783
0.4<=w<0.6 : , 9370, 20796
0.6<=w<0.8 : , 3961, 2685
0.8<=w<=1 : , 10282, 4413
epoch, 26
-1<=w<-0.8 : 3653, 8584
-0.8<=w<-0.6 : , 6213, 9848
-0.6<=w<-0.4 : , 18539, 24698
-0.4<=w<-0.2 : , 58142, 69685
-0.2<=w<0 : , 165678, 176915
0<=w<-0.2 : , 204515, 192048
0.2<=w<0.4 : , 58923, 49211
0.4<=w<0.6 : , 9484, 24698
0.6<=w<0.8 : , 3859, 2681
0.8<=w<=1 : , 9933, 4256
epoch, 27
-1<=w<-0.8 : 3860, 8730
-0.8<=w<-0.6 : , 5896, 9237
-0.6<=w<-0.4 : , 14892, 20116
-0.4<=w<-0.2 : , 59210, 72037
-0.2<=w<0 : , 156851, 167669
0<=w<-0.2 : , 195095, 183357
0.2<=w<0.4 : , 61502, 50531
0.4<=w<0.6 : , 7642, 20116
0.6<=w<0.8 : , 3830, 2680
0.8<=w<=1 : , 10481, 4509
epoch, 28
-1<=w<-0.8 : 3937, 9219
-0.8<=w<-0.6 : , 5999, 9602
-0.6<=w<-0.4 : , 14765, 19846
-0.4<=w<-0.2 : , 60466, 72872
-0.2<=w<0 : , 169006, 179482
0<=w<-0.2 : , 203070, 190518
0.2<=w<0.4 : , 62834, 51906
0.4<=w<0.6 : , 9207, 19846
0.6<=w<0.8 : , 4001, 2844
0.8<=w<=1 : , 10523, 4451
epoch, 29
-1<=w<-0.8 : 3841, 8626
-0.8<=w<-0.6 : , 5842, 9156
-0.6<=w<-0.4 : , 17297, 23223
-0.4<=w<-0.2 : , 54924, 66320
-0.2<=w<0 : , 163933, 175688
0<=w<-0.2 : , 201343, 189352
0.2<=w<0.4 : , 57530, 47315
